Source: ACS 5-Year Estimates 5-Year Estimates – Public Use Microdata Sample 2019,,,,,,,,,,,,,,,,,,,,,,
Weight used: PWGTP,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Northeast Region, Midwest Region, South Region, West Region, Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Massachusetts, Maryland, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming",,,,,,,,,,,,,,,,,,,,,,
,Employment status recode (ESR),,,,,,,,,,,,,,,,,,,,,
,,N/A (less than 16 years old),,,"Civilian employed, at work",,,"Civilian employed, with a job but not at work",,,Unemployed,,,"Armed Forces, At Work",,,"Armed Forces, With a Job But Not At Work",,,Not in Labor Force,,
,,Sex (SEX),,,Sex (SEX),,,Sex (SEX),,,Sex (SEX),,,Sex (SEX),,,Sex (SEX),,,Sex (SEX),,
Selected Geographies,Total,Total Sex (SEX),Male,Female,Total Sex (SEX),Male,Female,Total Sex (SEX),Male,Female,Total Sex (SEX),Male,Female,Total Sex (SEX),Male,Female,Total Sex (SEX),Male,Female,Total Sex (SEX),Male,Female
 -> Total,649395590,130031110,66459536,63571574,303072466,159717170,143355296,6341828,2756326,3585502,17369998,9279760,8090238,2129284,1824204,305080,17174,13906,3268,190433730,79730556,110703174
Northeast Region,56033139,10294393,5268042,5026351,27163792,14066517,13097275,604062,252528,351534,1544206,840680,703526,62532,54929,7603,1026,893,133,16363128,6835951,9527177
Midwest Region,68108086,13715008,7020747,6694261,32816955,17167674,15649281,623403,270611,352792,1710204,936864,773340,94260,79887,14373,809,511,298,19147447,8137846,11009601
South Region,123408246,25189451,12858003,12331448,55835742,29333659,26502083,1065688,461949,603739,3274948,1698062,1576886,576772,492330,84442,5110,4140,970,37460535,15637460,21823075
West Region,77148324,15816703,8082976,7733727,35719744,19290735,16429009,877761,393075,484686,2155641,1164274,991367,331078,284956,46122,1642,1409,233,22245755,9254021,12991734
Alabama,4876250,967246,493287,473959,2051999,1070991,981008,38115,17068,21047,132676,68846,63830,12895,11088,1807,115,55,60,1673204,696815,976389
Alaska,737068,166518,85282,81236,336627,181423,155204,9536,4934,4602,27208,16149,11059,16989,15102,1887,22,22,0,180168,81933,98235
Arizona,7050299,1450760,740202,710558,3071280,1641828,1429452,55642,23936,31706,194804,103746,91058,19243,15967,3276,138,112,26,2258432,978845,1279587
Arkansas,2999370,625235,318210,307025,1283697,672731,610966,20238,8653,11585,70974,37914,33060,4992,4083,909,17,17,0,994217,429637,564580
California,39283497,7997334,4083011,3914323,18062416,9809925,8252491,528105,239326,288779,1190437,632557,557880,132577,115309,17268,873,805,68,11371755,4642512,6729243
Colorado,5610349,1120482,573645,546837,2852627,1532942,1319685,51649,23864,27785,132118,73376,58742,33427,28332,5095,28,28,0,1420018,590883,829135
Connecticut,3575074,649714,333143,316571,1777524,915980,861544,36950,15840,21110,116327,61719,54608,8289,7598,691,83,83,0,986187,410808,575379
Delaware,957248,180352,91195,89157,444198,227009,217189,8721,3508,5213,25376,12939,12437,3481,2901,580,0,0,0,295120,125652,169468
District of Columbia,692683,113549,57700,55849,369501,178759,190742,5930,1867,4063,27834,13465,14369,3355,2693,662,33,0,33,172481,74329,98152
Florida,20901636,3696787,1885740,1811047,9317511,4872554,4444957,170510,73385,97125,562633,290609,272024,58369,49163,9206,607,435,172,7095219,3046061,4049158
Georgia,10403847,2216510,1129420,1087090,4722622,2450824,2271798,100844,43276,57568,290986,143070,147916,47834,41936,5898,823,823,0,3024228,1253349,1770879
Hawaii,1422094,273244,140776,132468,661715,341890,319825,16727,7389,9338,28666,15332,13334,42168,36786,5382,142,90,52,399432,171369,228063
Idaho,1717750,390685,200448,190237,775867,420857,355010,14817,6718,8099,36036,20718,15318,3884,3030,854,0,0,0,496461,209466,286995
Illinois,12770631,2551692,1304222,1247470,6134959,3211586,2923373,115843,49848,65995,392040,211522,180518,17665,14827,2838,351,234,117,3558081,1481876,2076205
Indiana,6665703,1391541,713009,678532,3135523,1654030,1481493,58679,26525,32154,163181,85368,77813,3879,3419,460,56,19,37,1912844,802365,1110479
Iowa,3139508,648369,330074,318295,1582563,830467,752096,29198,13398,15800,63270,35282,27988,1724,1584,140,0,0,0,814384,347365,467019
Kansas,2910652,630912,322130,308782,1414186,750084,664102,22969,10145,12824,63060,34858,28202,17162,15697,1465,0,0,0,762363,317679,444684
Kentucky,4449052,893715,459244,434471,1932421,1010196,922225,43227,18058,25169,114036,62842,51194,13563,12170,1393,38,38,0,1452052,628116,823936
Louisiana,4664362,981700,500160,481540,1993041,1021680,971361,38003,16511,21492,140484,78079,62405,17220,14920,2300,73,46,27,1493841,647957,845884
Maine,1335492,220924,113797,107127,651778,329728,322050,15650,7984,7666,28958,17186,11772,1847,1782,65,2,2,0,416333,183222,233111
Maryland,6018848,1190087,606816,583271,3014409,1535621,1478788,57643,24099,33544,165635,83856,81779,30175,23955,6220,206,114,92,1560693,643622,917071
Massachusetts,6850572,1201195,613919,587276,3532976,1798015,1734961,71603,31040,40563,181605,99717,81888,5084,4550,534,29,29,0,1858080,779216,1078864
Michigan,9965265,1913579,978835,934744,4553272,2379585,2173687,97730,41503,56227,289530,162188,127342,4651,3870,781,14,14,0,3106489,1338829,1767660
Minnesota,5563378,1153575,590138,563437,2902653,1513869,1388784,53819,21851,31968,111906,66277,45629,2523,2204,319,0,0,0,1338902,575313,763589
Mississippi,2984418,628783,320916,307867,1209930,620462,589468,22912,9867,13045,98118,48322,49796,11386,9447,1939,211,96,115,1013078,438825,574253
Missouri,6104910,1220787,627250,593537,2862070,1482914,1379156,50600,21942,28658,138816,74742,64074,20119,16061,4058,141,90,51,1812377,774165,1038212
Montana,1050649,203345,104828,98517,502318,265720,236598,10927,4992,5935,21312,12324,8988,2972,2438,534,8,8,0,309767,138135,171632
Nebraska,1914571,423448,217413,206035,980406,518999,461407,17630,8137,9493,34468,18334,16134,5682,4593,1089,0,0,0,452937,187602,265335
Nevada,2972382,605353,308187,297166,1373612,741982,631630,27773,11653,16120,92921,50421,42500,8408,6783,1625,25,25,0,864290,372753,491537
New Hampshire,1348105,226409,116181,110228,711235,372471,338764,17070,7395,9675,27854,15719,12135,1990,1888,102,49,49,0,363498,154807,208691
New Jersey,8878503,1731343,884476,846867,4331520,2286608,2044912,95309,38361,56948,250878,133928,116950,10249,8535,1714,120,103,17,2459084,984454,1474630
New Mexico,2092454,431400,219092,212308,877276,459501,417775,10986,4860,6126,61522,35560,25962,9955,8500,1455,140,140,0,701175,308036,393139
New York,19572319,3634491,1860317,1774174,9266866,4784191,4482675,218814,90226,128588,545740,294544,251196,24031,21379,2652,635,519,116,5881742,2450882,3430860
North Carolina,10264876,2030468,1038535,991933,4666698,2413879,2252819,96877,41890,54987,279487,137646,141841,90647,83397,7250,423,370,53,3100276,1283258,1817018
North Dakota,756717,158311,81574,76737,394632,214606,180026,8500,3905,4595,11023,5443,5580,7149,5962,1187,0,0,0,177102,76390,100712
Ohio,11655397,2296497,1176146,1120351,5481808,2852040,2629768,115208,49961,65247,314657,169822,144835,8387,7032,1355,216,123,93,3438624,1457309,1981315
Oklahoma,3932870,852471,438072,414399,1743618,931802,811816,28915,13613,15302,95172,51050,44122,18580,15002,3578,25,25,0,1194089,500348,693741
Oregon,4129803,767509,392882,374627,1938020,1023885,914135,40639,16750,23889,113467,62658,50809,3353,2925,428,62,0,62,1266753,547770,718983
Pennsylvania,12791530,2347326,1200490,1146836,6051736,3149820,2901916,125442,52509,72933,349598,192789,156809,7046,5776,1270,58,58,0,3910324,1663405,2246919
Rhode Island,1057231,181397,92358,89039,516827,265690,251137,15806,5865,9941,30867,17882,12985,3413,2896,517,50,50,0,308871,129076,179795
South Carolina,5020806,975376,497864,477512,2227526,1145028,1082498,43117,18100,25017,140392,72442,67950,31537,25766,5771,377,377,0,1602481,676716,925765
South Dakota,870638,192528,98185,94343,434324,229839,204485,8566,3701,4865,17003,10316,6687,2448,2252,196,21,21,0,215748,94717,121031
Tennessee,6709356,1333810,682997,650813,3042781,1591874,1450907,61636,26402,35234,175123,88348,86775,18454,16433,2021,50,7,43,2077502,867089,1210413
Texas,28260856,6522921,3326655,3196266,13016231,7097099,5919132,232343,103357,128986,704315,375486,328829,91029,77325,13704,1605,1308,297,7692412,3051566,4640846
Utah,3096848,824787,423192,401595,1474167,822284,651883,22149,9287,12862,55252,30453,24799,4072,3462,610,30,30,0,716391,270161,446230
Vermont,624313,101594,53361,48233,323330,164014,159316,7418,3308,4110,12379,7196,5183,583,525,58,0,0,0,179009,80081,98928
Virginia,8454463,1655371,844714,810657,4073731,2109505,1964226,80134,34705,45429,199172,102249,96923,121803,100747,21056,499,421,78,2323753,965511,1358242
Washington,7404107,1463505,748834,714671,3514301,1895788,1618513,81331,35531,45800,187678,102290,85388,50863,43637,7226,174,149,25,2106255,876231,1230024
West Virginia,1817305,325070,166478,158592,725828,383645,342183,16523,7590,8933,52535,30899,21636,1452,1304,148,8,8,0,695889,308609,387280
Wisconsin,5790716,1133769,581771,551998,2940559,1529655,1410904,44661,19695,24966,111250,62712,48538,2871,2386,485,10,10,0,1557596,684236,873360
Wyoming,581024,121781,62597,59184,279518,152710,126808,7480,3835,3645,14220,8690,5530,3167,2685,482,0,0,0,154858,65927,88931
