"GEO_ID","NAME","P3_001N","P3_002N","P3_003N","P3_004N","P3_005N","P3_006N","P3_007N","P3_008N","P3_009N","P3_010N","P3_011N","P3_012N","P3_013N","P3_014N","P3_015N","P3_016N","P3_017N","P3_018N","P3_019N","P3_020N","P3_021N","P3_022N","P3_023N","P3_024N","P3_025N","P3_026N","P3_027N","P3_028N","P3_029N","P3_030N","P3_031N","P3_032N","P3_033N","P3_034N","P3_035N","P3_036N","P3_037N","P3_038N","P3_039N","P3_040N","P3_041N","P3_042N","P3_043N","P3_044N","P3_045N","P3_046N","P3_047N","P3_048N","P3_049N","P3_050N","P3_051N","P3_052N","P3_053N","P3_054N","P3_055N","P3_056N","P3_057N","P3_058N","P3_059N","P3_060N","P3_061N","P3_062N","P3_063N","P3_064N","P3_065N","P3_066N","P3_067N","P3_068N","P3_069N","P3_070N","P3_071N"
"id","Geographic Area Name"," !!Total:"," !!Total:!!Population of one race:"," !!Total:!!Population of one race:!!White alone"," !!Total:!!Population of one race:!!Black or African American alone"," !!Total:!!Population of one race:!!American Indian and Alaska Native alone"," !!Total:!!Population of one race:!!Asian alone"," !!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Population of one race:!!Some Other Race alone"," !!Total:!!Population of two or more races:"," !!Total:!!Population of two or more races:!!Population of two races:"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Black or African American"," !!Total:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Asian"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Some Other Race"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Asian"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Some Other Race"," !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Asian"," !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Some Other Race"," !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of two races:!!Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; American Indian and Alaska Native"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Asian"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Asian"," !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Asian"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Asian"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of five races:"," !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of five races:!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of five races:!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of six races:"," !!Total:!!Population of two or more races:!!Population of six races:!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
"0400000US01","Alabama","3917166","3751169","2595046","981723","24552","60508","2115","87225","165997","158371","18106","61748","10143","878","55472","4692","1130","262","3470","192","43","1265","480","324","166","6741","2714","325","75","721","477","78","1354","386","201","41","80","12","103","82","51","14","6","6","5","10","733","180","36","332","35","35","1","19","33","0","12","25","3","3","15","4","148","71","65","5","0","5","2","4","4"
"0400000US02","Alaska","554003","500671","349626","17297","76714","34638","8249","14147","53332","49597","2729","23941","4930","813","12761","962","291","111","664","732","213","416","868","128","38","3296","881","111","39","181","764","116","505","439","85","13","31","0","25","18","8","4","40","4","8","24","398","87","28","111","24","16","3","78","26","1","7","1","3","0","2","11","33","21","5","0","2","3","2","8","8"
"0400000US04","Arizona","5541976","4875350","3549308","247633","226604","205298","11803","634704","666626","640037","28955","61635","34582","3956","481317","4825","2592","418","6974","881","320","7217","3502","2265","598","24122","4152","1326","186","2454","1147","210","9458","2294","1796","190","139","41","276","121","82","24","68","72","20","66","2127","412","72","943","86","105","9","144","195","32","93","20","3","2","3","8","293","114","145","10","6","17","1","47","47"
"0400000US05","Arkansas","2312273","2175566","1683440","333515","20162","40043","8394","90012","136707","131244","10798","57016","6083","699","50265","2271","446","103","1610","126","70","984","361","318","94","4964","1884","155","44","437","388","57","1345","242","169","31","28","5","91","43","13","1","8","9","0","14","406","109","14","181","2","14","0","22","26","10","7","6","7","0","8","0","83","46","35","1","0","0","1","10","10"
"0400000US06","California","30827105","26832028","13443813","1757768","475594","4970407","120850","6063596","3995077","3766358","145313","290648","344148","28940","2663682","27745","27794","4355","55628","8656","1651","86402","40224","32800","8372","206118","27154","9925","1371","16443","11244","1815","88908","18650","18854","2146","1499","305","2288","1340","1179","272","577","896","184","1068","19695","3676","505","8031","783","1273","150","1331","2173","246","980","156","178","52","97","64","2570","880","1262","155","101","154","18","336","336"
"0400000US08","Colorado","4509576","4039219","3308162","175400","56575","158934","7488","332660","470357","446117","23734","66285","34139","2978","297557","3442","2237","329","4641","569","147","6463","1926","1276","394","22019","3999","1019","108","1804","1126","166","9991","1772","1150","140","160","41","222","100","67","8","56","36","4","50","1920","354","74","848","71","110","22","141","171","25","71","13","7","9","2","2","263","129","88","22","3","21","0","38","38"
"0400000US09","Connecticut","2869227","2648584","1989916","294102","11940","134023","1207","217396","220643","209187","17508","19313","11360","532","136238","3711","1154","362","13760","245","64","2308","513","1242","877","9590","2822","485","44","2721","232","19","1682","256","430","71","108","14","452","23","103","38","8","25","21","36","1743","177","38","1332","29","75","8","21","30","3","14","7","4","0","5","0","99","48","39","4","2","5","1","24","24"
"0400000US10","Delaware","783543","735632","500550","164887","3880","33396","312","32607","47911","45097","6221","7272","2904","191","22490","1988","515","102","2504","62","6","443","114","198","87","2444","1065","188","6","377","94","17","361","86","68","9","52","17","67","17","6","0","0","3","0","11","332","63","7","184","6","16","15","4","7","0","13","4","4","0","8","1","33","7","14","0","12","0","0","5","5"
"0400000US11","District of Columbia","575161","532702","244170","226137","2554","31093","369","28379","42459","38841","5267","1835","5490","204","18961","1821","943","91","3097","61","16","599","164","227","65","3122","1044","245","18","594","51","2","659","104","148","13","47","29","89","21","28","15","1","0","0","14","459","88","7","286","10","31","0","0","13","3","15","5","1","0","0","0","37","16","17","0","0","4","0","0","0"
