Source: ACS 5-Year Estimates 5-Year Estimates – Public Use Microdata Sample 2019,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Employment status recode (ESR),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,"Civilian employed, At work",,,"Civilian employed, With A Job But Not At Work",,,Unemployed,,,"Armed Forces,At work",,,"Armed Forces,With A Job But Not At Work",,,Not in Labor Force,
,,,,,,,,,,,,,,,,,,,,,
States,Total,,,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
 -> Total,324697795,,,,159717170,143355296,,2756326,3585502,,9279760,8090238,,1824204,305080,,13906,3268,,79730556,110703174
,,,,,,,,,,,,,,,,,,,,,
Alabama,4876250,,,,1070991,981008,,17068,21047,,68846,63830,,11088,1807,,55,60,,696815,976389
Alaska,737068,,,,181423,155204,,4934,4602,,16149,11059,,15102,1887,,22,0,,81933,98235
Arizona,7050299,,,,1641828,1429452,,23936,31706,,103746,91058,,15967,3276,,112,26,,978845,1279587
Arkansas,2999370,,,,672731,610966,,8653,11585,,37914,33060,,4083,909,,17,0,,429637,564580
California,39283497,,,,9809925,8252491,,239326,288779,,632557,557880,,115309,17268,,805,68,,4642512,6729243
Colorado,5610349,,,,1532942,1319685,,23864,27785,,73376,58742,,28332,5095,,28,0,,590883,829135
Connecticut,3575074,,,,915980,861544,,15840,21110,,61719,54608,,7598,691,,83,0,,410808,575379
Delaware,957248,,,,227009,217189,,3508,5213,,12939,12437,,2901,580,,0,0,,125652,169468
District of Columbia,692683,,,,178759,190742,,1867,4063,,13465,14369,,2693,662,,0,33,,74329,98152
Florida,20901636,,,,4872554,4444957,,73385,97125,,290609,272024,,49163,9206,,435,172,,3046061,4049158
Georgia,10403847,,,,2450824,2271798,,43276,57568,,143070,147916,,41936,5898,,823,0,,1253349,1770879
Hawaii,1422094,,,,341890,319825,,7389,9338,,15332,13334,,36786,5382,,90,52,,171369,228063
Idaho,1717750,,,,420857,355010,,6718,8099,,20718,15318,,3030,854,,0,0,,209466,286995
Illinois,12770631,,,,3211586,2923373,,49848,65995,,211522,180518,,14827,2838,,234,117,,1481876,2076205
